TOKEN, STEMMING, LEMMA, POS, IS_STOP_WORD 
﻿Mega, ﻿mega, ﻿Mego, ADJ, False
,, ,, ,, PUNCT, False
na, na, em o, ADP, True
verdade, verdad, verdade, NOUN, False
,, ,, ,, PUNCT, False
é, é, ser, AUX, True
o, o, o, DET, True
desfiles, desfil, desfile, NOUN, False
das, da, de o, ADP, True
escolas, escola, escola, NOUN, False
de, de, de, ADP, True
samba, samba, samba, NOUN, False
do, do, de o, ADP, True
Rio, rio, Rio, PROPN, False
., ., ., PUNCT, False
Não, não, não, ADV, True
há, há, haver, VERB, False
melhor, melhor, bom, ADJ, False
definição, definição, definição, NOUN, False
para, para, para, ADP, True
um, um, um, DET, True
espetáculo, espetáculo, espetáculo, NOUN, False
protagonizado, protagonizado, protagonizar, VERB, False
por, por, por, ADP, True
60, 60, 60, NUM, False
mil, mil, mil, NUM, True
artistas, artista, artista, NOUN, False
,, ,, ,, PUNCT, False
que, que, que, PRON, True
exige, exig, exigir, VERB, False
12, 12, 12, NUM, False
horas, hora, hora, NOUN, False
de, de, de, ADP, True
exaltação, exaltação, exaltação, NOUN, False
durante, durant, durante, ADP, False
dois, doi, dois, NUM, True
dias, dia, dia, NOUN, False
,, ,, ,, PUNCT, False
é, é, ser, AUX, True
assistido, assistido, assistir, VERB, False
no, no, em o, ADP, True
Sambódromo, sambódromo, Sambódromo, PROPN, False
por, por, por, ADP, True
50, 50, 50, NUM, False
mil, mil, mil, NUM, True
pessoas, pessoa, pessoa, NOUN, False
e, e, e, CCONJ, True
por, por, por, ADP, True
outras, outra, outro, DET, True
2,5, 2,5, 2,5, NUM, False
milhões, milhõ, milhão, NUM, False
via, via, via, ADP, False
TV, tv, tv, NOUN, False
., ., ., PUNCT, False
Se, se, se, SCONJ, True
em, em, em, ADP, True
verões, verõ, verão, NOUN, False
passados, passado, passar, VERB, False
tudo, tudo, tudo, PRON, True
era, era, ser, AUX, True
demais, demai, demais, ADV, True
,, ,, ,, PUNCT, False
massa, massa, massa, NOUN, False
,, ,, ,, PUNCT, False
maneiro, maneiro, maneiro, ADJ, False
,, ,, ,, PUNCT, False
duca, duca, ducar, VERB, False
ou, ou, ou, CCONJ, True
híper, híper, híper, NOUN, False
,, ,, ,, PUNCT, False
agora, agora, agora, ADV, True
a, a, o, DET, True
moda, moda, moda, NOUN, False
é, é, ser, AUX, True
mega, mega, mego, ADJ, False
,, ,, ,, PUNCT, False
mas, ma, mas, CCONJ, True
no, no, em o, ADP, True
caso, caso, caso, NOUN, False
do, do, de o, ADP, True
Carnaval, carnav, carnaval, NOUN, False
não, não, não, ADV, True
é, é, ser, AUX, True
exagero, exagero, exagero, ADJ, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
Basta, basta, Basta, PROPN, False
saber, saber, saber, VERB, True
que, que, que, SCONJ, True
o, o, o, DET, True
Carnaval, carnav, carnaval, NOUN, False
congrega, congrega, congrega, VERB, False
