benchmark,class,cores,is_singularity,time
is,S,16,n,0.20099999999999998
is,S,16,s,0.20099999999999998
is,W,16,n,0.227
is,W,16,s,0.223
is,A,16,n,1.1869999999999998
is,A,16,s,1.171
is,B,16,n,2.5829999999999997
is,B,16,s,2.554
is,C,16,n,5.761
is,C,16,s,6.045
ep,S,16,n,0.043
ep,S,16,s,0.044
ep,W,16,n,0.066
ep,W,16,s,0.07100000000000001
ep,A,16,n,0.417
ep,A,16,s,0.42000000000000004
ep,B,16,n,1.6020000000000003
ep,B,16,s,1.58
ep,C,16,n,6.3469999999999995
ep,C,16,s,6.368
cg,S,16,n,0.756
cg,S,16,s,0.703
cg,W,16,n,1.4969999999999999
cg,W,16,s,1.4779999999999998
cg,A,16,n,1.907
cg,A,16,s,1.413
cg,B,16,n,17.656
cg,B,16,s,18.294999999999998
cg,C,16,n,83.293
cg,C,16,s,99.304
lu,S,16,n,0.907
lu,S,16,s,2.9699999999999998
lu,A,16,n,46.17
lu,A,16,s,34.86399999999999
ft,S,16,n,0.07100000000000001
ft,S,16,s,0.08499999999999999
ft,W,16,n,0.09299999999999999
ft,W,16,s,0.1
ft,A,16,n,1.4140000000000001
ft,A,16,s,2.0460000000000003
ft,B,16,n,18.916999999999998
ft,B,16,s,21.413
mg,W,16,n,1.831
mg,W,16,s,1.5740000000000003
mg,A,16,n,0.522
mg,A,16,s,0.5200000000000001
mg,C,16,n,13.247999999999996
mg,C,16,s,20.946999999999996
is,S,8,n,0.09
is,S,8,s,0.10500000000000001
is,W,8,n,0.19099999999999998
is,W,8,s,0.177
is,A,8,n,0.615
is,A,8,s,0.5999999999999999
is,B,8,n,3.7800000000000002
is,B,8,s,4.746
is,C,8,n,15.388
is,C,8,s,15.421000000000003
ep,S,8,n,0.238
ep,S,8,s,0.23200000000000004
ep,A,8,n,2.408
ep,A,8,s,0.806
ep,B,8,n,3.16
ep,B,8,s,7.275
ep,C,8,n,26.595
ep,C,8,s,27.264
cg,W,8,n,1.081
cg,W,8,s,1.114
cg,A,8,n,1.1119999999999999
cg,A,8,s,2.9219999999999997
cg,B,8,n,54.536
cg,B,8,s,73.43100000000001
cg,C,8,n,145.843
cg,C,8,s,141.733
lu,W,8,n,5.095000000000001
lu,W,8,s,25.740999999999996
lu,A,8,n,32.434000000000005
lu,A,8,s,29.441000000000003
lu,B,8,n,89.85800000000002
lu,B,8,s,90.095
ft,S,8,n,0.5519999999999999
ft,S,8,s,0.5370000000000001
ft,W,8,n,0.5539999999999999
ft,W,8,s,0.643
ft,A,8,n,3.152
ft,A,8,s,1.5339999999999998
ft,B,8,n,36.884
ft,B,8,s,39.971000000000004
ft,C,8,n,163.33199999999997
ft,C,8,s,160.816
mg,S,8,n,2.3129999999999997
mg,S,8,s,2.2289999999999996
mg,W,8,n,0.265
mg,W,8,s,0.233
mg,A,8,n,0.479
mg,A,8,s,0.489
mg,B,8,n,5.822
mg,B,8,s,13.921000000000001
mg,C,8,n,25.845
mg,C,8,s,25.826
lu,C,16,n,57.074
lu,C,16,s,57.029999999999994
mg,B,16,n,2.4460000000000006
mg,B,16,s,2.528
is,S,2,n,0.0
is,S,2,s,0.0
is,W,2,n,0.039999999999999994
is,W,2,s,0.040999999999999995
is,A,2,n,0.57
is,A,2,s,0.5650000000000001
is,B,2,n,2.292
is,B,2,s,2.322
is,C,2,n,9.248
is,C,2,s,9.192
ep,S,2,n,0.18099999999999997
ep,S,2,s,0.18099999999999997
ep,W,2,n,0.36199999999999993
ep,W,2,s,0.36800000000000005
ep,B,2,n,24.371
ep,B,2,s,23.726
cg,S,2,n,0.019999999999999997
cg,S,2,s,0.019999999999999997
cg,W,2,n,0.12000000000000002
cg,W,2,s,0.12000000000000002
cg,A,2,n,0.425
cg,A,2,s,0.43200000000000005
lu,S,2,n,0.019999999999999997
lu,S,2,s,0.019999999999999997
lu,W,2,n,2.6
lu,W,2,s,9.703999999999999
lu,A,2,n,48.544999999999995
lu,A,2,s,56.447
lu,B,2,n,232.62700000000004
lu,B,2,s,217.02799999999996
ft,S,2,n,0.047999999999999994
ft,S,2,s,0.047999999999999994
ft,W,2,n,0.11000000000000001
ft,W,2,s,0.10900000000000001
ft,B,2,n,65.708
