benchmark,class,cores,is_singularity,time
is,S,2,n,0.012
is,S,2,s,0.016
is,W,2,n,0.084
is,W,2,s,0.094
is,A,2,n,0.758
is,A,2,s,0.766
is,B,2,n,3.772
is,B,2,s,3.754
ep,S,2,n,0.194
ep,S,2,s,0.2
ep,W,2,n,0.548
ep,W,2,s,0.392
ep,A,2,n,3.082
ep,A,2,s,3.118
ep,B,2,n,12.89
ep,B,2,s,12.334
ep,C,2,n,49.598
ep,C,2,s,49.742000000000004
is,S,4,n,0.02
is,S,4,s,0.013999999999999999
is,W,4,n,0.066
is,W,4,s,0.07
is,A,4,n,0.48999999999999994
is,A,4,s,0.472
is,B,4,n,2.092
is,B,4,s,2.166
is,C,4,n,11.453999999999999
is,C,4,s,11.161999999999999
ep,S,4,n,0.1
ep,S,4,s,0.10400000000000001
ep,W,4,n,0.21600000000000003
ep,W,4,s,0.202
ep,A,4,n,1.5879999999999999
ep,A,4,s,1.58
ep,B,4,n,6.343999999999999
ep,B,4,s,6.244000000000001
ep,C,4,n,25.472
ep,C,4,s,25.200000000000003
cg,S,2,n,0.268
cg,S,2,s,0.268
cg,W,2,n,0.418
cg,W,2,s,0.40199999999999997
cg,A,2,n,0.752
cg,A,2,s,0.7380000000000001
lu,S,2,n,0.08
lu,S,2,s,0.07400000000000001
lu,W,2,n,4.026000000000001
lu,W,2,s,4.032
lu,A,2,n,21.454
lu,A,2,s,21.556
ft,S,2,n,0.07400000000000001
ft,S,2,s,0.082
ft,W,2,n,0.154
ft,W,2,s,0.164
ft,A,2,n,3.332
ft,A,2,s,3.312
mg,S,2,n,0.022
mg,W,2,n,0.12
mg,A,2,n,0.698
cg,S,4,n,0.316
cg,S,4,s,0.302
cg,W,4,n,0.524
cg,W,4,s,0.516
cg,A,4,n,0.7
cg,A,4,s,0.7100000000000001
lu,S,4,n,0.174
lu,S,4,s,0.156
lu,W,4,n,3.652
lu,W,4,s,3.5380000000000003
lu,A,4,n,13.008
lu,A,4,s,13.084
ft,S,4,n,0.06
ft,S,4,s,0.05600000000000001
ft,W,4,n,0.12
ft,W,4,s,0.118
ft,A,4,n,1.816
ft,A,4,s,1.8800000000000001
mg,S,4,n,0.04800000000000001
mg,W,4,n,0.166
mg,A,4,n,0.484
