benchmark,class,cores,is_singularity,time
is,S,8,n,0.053000000000000005
is,S,8,s,0.06000000000000001
is,W,8,n,0.13600000000000004
is,W,8,s,0.144
is,A,8,n,0.497
is,A,8,s,0.489
is,B,8,n,1.4060000000000001
is,B,8,s,1.4409999999999996
is,C,8,n,6.848999999999999
is,C,8,s,6.721000000000001
ep,S,8,n,0.049999999999999996
ep,S,8,s,0.052000000000000005
ep,W,8,n,0.09799999999999999
ep,W,8,s,0.101
ep,A,8,n,0.75
ep,A,8,s,0.7629999999999999
ep,B,8,n,2.9639999999999995
ep,B,8,s,3.088
ep,C,8,n,11.865000000000002
ep,C,8,s,12.196
cg,S,8,n,0.702
cg,S,8,s,0.705
cg,W,8,n,1.115
cg,W,8,s,1.075
cg,A,8,n,1.403
cg,A,8,s,1.32
ep,D,8,n,191.663
ep,D,8,s,194.33899999999997
cg,B,8,n,25.163
cg,B,8,s,25.936
cg,C,8,n,63.13199999999999
cg,C,8,s,63.449
lu,S,8,n,0.603
lu,S,8,s,0.522
lu,W,8,n,5.729
lu,W,8,s,5.473
lu,A,8,n,9.708000000000002
lu,A,8,s,10.258000000000001
lu,B,8,n,25.978
lu,B,8,s,25.287999999999997
lu,C,8,n,93.625
lu,C,8,s,93.99100000000001
ft,S,8,n,0.087
ft,S,8,s,0.08
ft,W,8,n,0.119
ft,W,8,s,0.12000000000000002
ft,A,8,n,1.071
ft,A,8,s,1.0439999999999998
ft,B,8,n,15.579000000000002
ft,B,8,s,15.677000000000001
mg,S,8,n,0.145
mg,S,8,s,0.13899999999999998
mg,W,8,n,0.267
mg,W,8,s,0.253
mg,A,8,n,0.5119999999999999
mg,A,8,s,0.5129999999999999
mg,B,8,n,2.4099999999999997
mg,B,8,s,2.378
is,S,2,n,0.019
is,S,2,s,0.022
is,W,2,n,0.12600000000000003
is,W,2,s,0.123
is,A,2,n,0.933
is,A,2,s,0.9289999999999999
is,B,2,n,4.029999999999999
is,B,2,s,4.035
is,C,2,n,21.017000000000003
is,C,2,s,22.608999999999998
ep,S,2,n,0.313
ep,S,2,s,0.3350000000000001
ep,W,2,n,0.6170000000000001
ep,W,2,s,0.643
ep,A,2,n,4.942
ep,A,2,s,3.405
ep,B,2,n,13.341
ep,B,2,s,16.467999999999996
ep,C,2,n,60.53099999999999
ep,C,2,s,60.712
cg,S,2,n,0.264
cg,S,2,s,0.28200000000000003
cg,W,2,n,0.48
cg,W,2,s,0.475
cg,A,2,n,0.8469999999999999
cg,A,2,s,0.9099999999999999
cg,B,2,n,56.29899999999999
cg,B,2,s,56.461
lu,S,2,n,0.076
lu,S,2,s,0.07500000000000002
lu,W,2,n,3.4730000000000003
lu,W,2,s,3.503
lu,A,2,n,18.694
lu,A,2,s,18.693
lu,B,2,n,78.71499999999999
lu,B,2,s,78.67
ft,S,2,n,0.09599999999999999
ft,S,2,s,0.09199999999999998
ft,W,2,n,0.19199999999999998
ft,W,2,s,0.18999999999999997
ft,A,2,n,3.4550000000000005
ft,A,2,s,4.252
ft,B,2,n,61.959999999999994
ft,B,2,s,61.79100000000001
mg,S,2,n,0.028000000000000004
mg,S,2,s,0.026000000000000002
mg,W,2,n,0.139
mg,W,2,s,0.135
mg,A,2,n,0.787
mg,A,2,s,0.773
is,S,4,n,0.068
is,S,4,s,0.05500000000000001
is,W,4,n,0.24500000000000002
is,W,4,s,0.28700000000000003
is,A,4,n,0.889
is,A,4,s,0.607
is,B,4,n,2.459
is,B,4,s,2.4259999999999997
ep,S,4,n,0.16899999999999998
ep,S,4,s,0.16399999999999998
ep,W,4,n,0.32500000000000007
ep,W,4,s,0.326
ep,B,4,n,6.806999999999998
ep,B,4,s,5.885
ep,C,4,n,30.034000000000002
ep,C,4,s,31.389999999999997
cg,W,4,n,1.4849999999999999
cg,W,4,s,1.5119999999999998
cg,B,4,n,58.376
cg,B,4,s,56.339999999999996
cg,C,4,n,156.792
cg,C,4,s,160.554
lu,S,4,n,0.599
lu,S,4,s,0.544
lu,W,4,n,4.162
lu,W,4,s,3.903
lu,A,4,n,20.011999999999997
lu,A,4,s,12.519
lu,B,4,n,56.097
lu,B,4,s,57.952999999999996
cg,C,2,n,162.17399999999998
cg,C,2,s,163.20000000000002
mg,B,2,n,3.293
mg,B,2,s,3.22
is,C,4,n,11.193999999999999
is,C,4,s,11.14
ep,A,4,n,1.599
ep,A,4,s,1.575
cg,S,4,n,0.275
cg,S,4,s,0.265
cg,A,4,n,0.665
cg,A,4,s,0.7009999999999998
ft,S,4,n,0.06300000000000001
ft,S,4,s,0.063
ft,W,4,n,0.13799999999999998
ft,W,4,s,0.147
ft,A,4,n,1.766
ft,A,4,s,1.7739999999999998
ft,B,4,n,28.225
ft,B,4,s,28.141000000000002
mg,S,4,n,0.069
mg,S,4,s,0.078
mg,W,4,n,0.14200000000000002
mg,W,4,s,0.15499999999999997
mg,A,4,n,0.5539999999999999
mg,A,4,s,0.544
mg,B,4,n,2.607
mg,B,4,s,2.569
